




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (6144)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
cellular metabolic process (GO:0044237)	7542	2414	2249.97	+	1.07	1.51E-04	8.45E-03
response to oxygen-containing compound (GO:1901700)	1604	572	478.51	+	1.20	1.59E-04	8.84E-03
regulation of phosphorylation (GO:0042325)	1391	503	414.97	+	1.21	1.63E-04	9.02E-03
cognition (GO:0050890)	298	133	88.90	+	1.50	1.66E-04	9.20E-03
peptide cross-linking (GO:0018149)	102	10	30.43	-	.33	1.69E-04	9.29E-03
connective tissue development (GO:0061448)	202	97	60.26	+	1.61	1.76E-04	9.67E-03
diencephalon development (GO:0021536)	79	48	23.57	+	2.04	1.81E-04	9.90E-03
mesonephric tubule morphogenesis (GO:0072171)	52	36	15.51	+	2.32	1.82E-04	9.94E-03
primary metabolic process (GO:0044238)	7352	2354	2193.28	+	1.07	1.89E-04	1.03E-02
positive regulation of cell population proliferation (GO:0008284)	939	353	280.13	+	1.26	1.90E-04	1.03E-02
renal tubule morphogenesis (GO:0061333)	66	42	19.69	+	2.13	2.06E-04	1.11E-02
regulation of kinase activity (GO:0043549)	914	344	272.67	+	1.26	2.07E-04	1.11E-02
regulation of animal organ morphogenesis (GO:2000027)	183	89	54.59	+	1.63	2.10E-04	1.13E-02
transmembrane transport (GO:0055085)	1276	463	380.66	+	1.22	2.28E-04	1.22E-02
phagocytosis, recognition (GO:0006910)	106	11	31.62	-	.35	2.33E-04	1.24E-02
positive regulation of signal transduction (GO:0009967)	1584	563	472.55	+	1.19	2.46E-04	1.30E-02
kidney morphogenesis (GO:0060993)	83	49	24.76	+	1.98	2.47E-04	1.30E-02
nitrogen compound metabolic process (GO:0006807)	6886	2210	2054.26	+	1.08	2.46E-04	1.30E-02
regulation of transmembrane transport (GO:0034762)	591	234	176.31	+	1.33	2.52E-04	1.32E-02
ureteric bud morphogenesis (GO:0060675)	51	35	15.21	+	2.30	2.58E-04	1.35E-02
muscle organ morphogenesis (GO:0048644)	74	45	22.08	+	2.04	2.70E-04	1.41E-02
regulation of transferase activity (GO:0051338)	1033	382	308.17	+	1.24	2.75E-04	1.42E-02
cardiac muscle tissue development (GO:0048738)	168	83	50.12	+	1.66	2.74E-04	1.42E-02
MAPK cascade (GO:0000165)	402	168	119.93	+	1.40	2.84E-04	1.46E-02
response to metal ion (GO:0010038)	379	160	113.07	+	1.42	2.85E-04	1.47E-02
positive regulation of cellular protein metabolic process (GO:0032270)	1474	526	439.73	+	1.20	2.93E-04	1.50E-02
negative regulation of neuron differentiation (GO:0045665)	70	43	20.88	+	2.06	2.96E-04	1.51E-02
positive regulation of catalytic activity (GO:0043085)	1240	450	369.92	+	1.22	2.98E-04	1.52E-02
regulation of protein metabolic process (GO:0051246)	2665	906	795.04	+	1.14	3.04E-04	1.54E-02
collagen fibril organization (GO:0030199)	103	57	30.73	+	1.86	3.03E-04	1.54E-02
renal tubule development (GO:0061326)	81	48	24.16	+	1.99	3.09E-04	1.56E-02
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	174	125.30	+	1.39	3.10E-04	1.56E-02
positive regulation of cellular component organization (GO:0051130)	1161	424	346.36	+	1.22	3.13E-04	1.57E-02
muscle system process (GO:0003012)	288	127	85.92	+	1.48	3.21E-04	1.61E-02
immune system process (GO:0002376)	2903	756	866.04	-	.87	3.23E-04	1.61E-02
roof of mouth development (GO:0060021)	87	50	25.95	+	1.93	3.30E-04	1.64E-02
muscle contraction (GO:0006936)	241	110	71.90	+	1.53	3.30E-04	1.64E-02
regulation of Wnt signaling pathway (GO:0030111)	377	159	112.47	+	1.41	3.34E-04	1.65E-02
muscle tissue morphogenesis (GO:0060415)	67	42	19.99	+	2.10	3.38E-04	1.65E-02
response to retinoic acid (GO:0032526)	111	60	33.11	+	1.81	3.38E-04	1.66E-02
nephron tubule development (GO:0072080)	77	46	22.97	+	2.00	3.37E-04	1.66E-02
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	392	475.23	-	.82	3.45E-04	1.68E-02
regulation of protein kinase activity (GO:0045859)	802	304	239.26	+	1.27	3.44E-04	1.68E-02
regulation of cellular protein metabolic process (GO:0032268)	2501	853	746.11	+	1.14	3.46E-04	1.68E-02
biological adhesion (GO:0022610)	959	356	286.09	+	1.24	3.64E-04	1.76E-02
trans-synaptic signaling (GO:0099537)	432	178	128.88	+	1.38	3.68E-04	1.78E-02
negative regulation of Wnt signaling pathway (GO:0030178)	219	101	65.33	+	1.55	3.80E-04	1.83E-02
negative regulation of cell death (GO:0060548)	1008	372	300.71	+	1.24	3.85E-04	1.84E-02
embryonic skeletal system morphogenesis (GO:0048704)	95	53	28.34	+	1.87	3.84E-04	1.84E-02
homeostatic process (GO:0042592)	1680	591	501.19	+	1.18	3.89E-04	1.85E-02
inorganic ion transmembrane transport (GO:0098660)	637	248	190.03	+	1.31	4.00E-04	1.89E-02
ventricular cardiac muscle tissue development (GO:0003229)	55	36	16.41	+	2.19	3.98E-04	1.89E-02
retina development in camera-type eye (GO:0060041)	148	74	44.15	+	1.68	3.99E-04	1.89E-02
cellular response to retinoic acid (GO:0071300)	69	42	20.58	+	2.04	4.05E-04	1.90E-02
anterograde trans-synaptic signaling (GO:0098916)	414	171	123.51	+	1.38	4.08E-04	1.91E-02
chemical synaptic transmission (GO:0007268)	414	171	123.51	+	1.38	4.08E-04	1.91E-02
metabolic process (GO:0008152)	8313	2635	2479.97	+	1.06	4.35E-04	2.03E-02
cell adhesion (GO:0007155)	953	353	284.30	+	1.24	4.49E-04	2.09E-02
neuron migration (GO:0001764)	117	62	34.90	+	1.78	4.60E-04	2.13E-02
regulation of cartilage development (GO:0061035)	71	43	21.18	+	2.03	4.63E-04	2.14E-02
activation of protein kinase activity (GO:0032147)	328	140	97.85	+	1.43	4.66E-04	2.15E-02
muscle cell differentiation (GO:0042692)	247	111	73.69	+	1.51	4.81E-04	2.21E-02
regulation of protein modification process (GO:0031399)	1654	580	493.43	+	1.18	5.24E-04	2.40E-02
regulation of protein phosphorylation (GO:0001932)	1218	439	363.36	+	1.21	5.24E-04	2.40E-02
negative regulation of cell population proliferation (GO:0008285)	703	269	209.72	+	1.28	5.39E-04	2.45E-02
synaptic signaling (GO:0099536)	464	187	138.42	+	1.35	5.66E-04	2.57E-02
regulation of growth (GO:0040008)	661	254	197.19	+	1.29	5.81E-04	2.63E-02
positive regulation of cell projection organization (GO:0031346)	353	148	105.31	+	1.41	5.89E-04	2.65E-02
cardiac muscle tissue morphogenesis (GO:0055008)	59	37	17.60	+	2.10	5.88E-04	2.66E-02
regulation of stem cell differentiation (GO:2000736)	116	61	34.61	+	1.76	6.00E-04	2.69E-02
positive regulation of cell development (GO:0010720)	300	129	89.50	+	1.44	6.25E-04	2.80E-02
regulation of immune effector process (GO:0002697)	435	88	129.77	-	.68	6.27E-04	2.80E-02
cartilage development (GO:0051216)	153	75	45.64	+	1.64	6.32E-04	2.81E-02
response to abiotic stimulus (GO:0009628)	1175	424	350.53	+	1.21	6.62E-04	2.91E-02
cellular macromolecule metabolic process (GO:0044260)	4909	1596	1464.48	+	1.09	6.60E-04	2.92E-02
regulation of cation channel activity (GO:2001257)	186	87	55.49	+	1.57	6.60E-04	2.92E-02
branching involved in ureteric bud morphogenesis (GO:0001658)	43	30	12.83	+	2.34	6.60E-04	2.93E-02
regulation of cell adhesion (GO:0030155)	731	277	218.08	+	1.27	6.75E-04	2.96E-02
localization within membrane (GO:0051668)	615	238	183.47	+	1.30	6.84E-04	3.00E-02
gland development (GO:0048732)	414	169	123.51	+	1.37	6.97E-04	3.04E-02
locomotory behavior (GO:0007626)	181	85	54.00	+	1.57	7.25E-04	3.16E-02
regulation of developmental growth (GO:0048638)	320	136	95.46	+	1.42	7.31E-04	3.18E-02
regulation of canonical Wnt signaling pathway (GO:0060828)	298	128	88.90	+	1.44	7.34E-04	3.18E-02
forebrain generation of neurons (GO:0021872)	62	38	18.50	+	2.05	7.45E-04	3.22E-02
forebrain regionalization (GO:0021871)	23	20	6.86	+	2.91	7.59E-04	3.27E-02
eye morphogenesis (GO:0048592)	152	74	45.35	+	1.63	8.02E-04	3.43E-02
regulation of heart contraction (GO:0008016)	230	103	68.61	+	1.50	7.98E-04	3.43E-02
growth (GO:0040007)	361	150	107.70	+	1.39	8.02E-04	3.43E-02
regulation of muscle system process (GO:0090257)	231	103	68.91	+	1.49	8.27E-04	3.52E-02
inorganic cation transmembrane transport (GO:0098662)	573	223	170.94	+	1.30	8.35E-04	3.55E-02
negative regulation of canonical Wnt signaling pathway (GO:0090090)	187	87	55.79	+	1.56	8.57E-04	3.63E-02
cation transmembrane transport (GO:0098655)	641	246	191.23	+	1.29	8.61E-04	3.64E-02
cation transport (GO:0006812)	824	307	245.82	+	1.25	8.82E-04	3.72E-02
positive regulation of protein metabolic process (GO:0051247)	1562	547	465.98	+	1.17	9.06E-04	3.81E-02
ion transmembrane transport (GO:0034220)	870	322	259.54	+	1.24	9.20E-04	3.86E-02
ossification (GO:0001503)	267	116	79.65	+	1.46	9.24E-04	3.86E-02
cardiac ventricle morphogenesis (GO:0003208)	70	41	20.88	+	1.96	9.29E-04	3.87E-02
developmental growth (GO:0048589)	358	148	106.80	+	1.39	9.29E-04	3.88E-02
heart valve development (GO:0003170)	65	39	19.39	+	2.01	9.39E-04	3.90E-02
cellular component biogenesis (GO:0044085)	2754	924	821.59	+	1.12	9.92E-04	4.10E-02
mesenchyme development (GO:0060485)	224	100	66.82	+	1.50	1.09E-03	4.49E-02
learning or memory (GO:0007611)	256	111	76.37	+	1.45	1.14E-03	4.70E-02
negative regulation of multicellular organismal process (GO:0051241)	1014	368	302.50	+	1.22	1.14E-03	4.71E-02
cellular biosynthetic process (GO:0044249)	2715	910	809.95	+	1.12	1.16E-03	4.75E-02
protein metabolic process (GO:0019538)	4203	1372	1253.86	+	1.09	1.20E-03	4.90E-02
cellular response to metal ion (GO:0071248)	200	91	59.66	+	1.53	1.21E-03	4.95E-02
